,Unnamed: 0,area,bathroom,direction,price,rooms,type,latitude,longitude
208,208, 65mt, 1,"Bella Vista, Santo Domingo De Guzmán","US$ 1,300", 1,Alquiler Amueblado,18.4522046,-69.9484723
209,209,Unknown, 1,"Jardines Del Norte, Santo Domingo De Guzmán","RD$ 19,000", 2,Alquiler,null,null
210,210,Unknown, 1,"Jardines Del Norte, Santo Domingo De Guzmán","RD$ 30,000", 3,Alquiler,null,null
211,211, 90mt, 2,"El Vergel, Santo Domingo De Guzmán","US$ 90,000", 1,Venta,18.4732303,-69.9167337
212,212, 168mt, 2,"La Julia, Santo Domingo De Guzmán","US$ 1,650", 3,Alquiler Línea Blanca,18.4633288,-69.9238582
213,213, 163mt, 2,"Ensanche Ozama, Santo Domingo Este","US$ 150,000", 3,Venta,18.493132,-69.8690342
214,214, 125mt, 2,"La Julia, Santo Domingo De Guzmán","US$ 170,000", 2,Venta,18.4633288,-69.9238582
215,215, 120mt, 2,"Viejo Arroyo Hondo, Santo Domingo De Guzmán","RD$ 5,200,000", 3,Venta,18.4963441,-69.9427768
216,216,Unknown, 2,"Miches O Higüey, Miches","US$ 400,000", 3,Venta,18.9638126,-68.8797133
217,217, 175mt, 3,"Ensanche Naco, Santo Domingo De Guzmán","US$ 1,300", 3,Alquiler Amueblado,18.48063285,-69.9245812964471
218,218, 163mt, 3,"Los Cacicazgos, Santo Domingo De Guzmán","US$ 1,400", 3,Alquiler,18.441375,-69.9697149
219,219, 220mt, 3,"Los Cacicazgos, Santo Domingo De Guzmán","US$ 2,500", 3,Alquiler Amueblado,18.441375,-69.9697149
220,220, 93mt, 2,"Piantini, Santo Domingo De Guzmán","US$ 149,000", 1,Venta,18.4772093,-69.8949479
221,221, 90mt, 1,"Piantini, Santo Domingo De Guzmán","US$ 1,600", 1,Alquiler Amueblado,18.4772093,-69.8949479
222,222, 208mt, 2,"Tropical Metaldom, Santo Domingo De Guzmán","RD$ 5,000,000", 3,Venta,null,null
223,223, 208mt, 2,"Tropical Metaldom, Santo Domingo De Guzmán","RD$ 5,000,000", 3,Venta,null,null
